flag,domain,company,contact,title,detail,priority,campaign
WRONG-ENTITY / NON-US - do not call unverified,emtelectric.com,"EMT Electric, Inc.",,,mobiles are Bay Area/LA area codes while company and person are Sacramento/Stockton (209) - verify mobile ownership,master-DQ,
WRONG-ENTITY / NON-US - do not call unverified,industrialfour.com,Industrial Four Inc.,,,"named lookup for Tom Hansen (Owner) missed; fallback returned Susan Turcotte, Co-Owner - different person, owner-level so usable",master-DQ,
WRONG-ENTITY / NON-US - do not call unverified,premierautomation.com,Premier Automation LLC,,,"same person also listed as owner of panelshop.com (row 182 of this slice) - premierautomation.com and panelshop.com are the same ownership, dedupe before outreach",master-DQ,
WRONG-ENTITY / NON-US - do not call unverified,gandptechnology.co.uk,G&P Technology,,,"UNITED KINGDOM - not a US target; .co.uk domain, UK phone numbers. Should not be on a US electrical-infrastructure list; DQ candidate, not a wrong match but a wrong company",master-DQ,
WRONG-ENTITY / NON-US - do not call unverified,bb-electric.com,B&B Electric,,,CANADA - likely wrong match for a US target; also no phone and no verified email. Named lookup for James Ott (President) missed,master-DQ,
WRONG-ENTITY / NON-US - do not call unverified,mdavisinc.com,"M. Davis & Sons, Inc.",,,office line only; named lookup for Peggy Del Fabbro (CEO) missed and fallback returned a different person with no verified email,master-DQ,
WRONG-ENTITY / NON-US - do not call unverified,ledlightinginc.com,LED Lighting Inc.,,,"office line only; contact located Lahore, Pakistan and is not the listed Bri Claeys (CEO) - non-US, likely wrong match",master-DQ,
WRONG-ENTITY / NON-US - do not call unverified,adc-electrical.co.uk,ADC Electrical Ltd,,,no contact found; note UK (.co.uk) domain on a US target list - company itself is likely out of scope,master-DQ,
WRONG-ENTITY / NON-US - do not call unverified,ceymglobal.com,Ceym,,,"office line only; contact located Ecuador and is not the listed Juan Torres (Owner) - non-US, likely wrong match",master-DQ,
WRONG-ENTITY / NON-US - do not call unverified,electriciansinc.com,"Electricians, Inc.",,,"office line only; contact located Glasgow, United Kingdom and is not the listed Jimmy Yamada (CEO) - non-US, likely wrong match",master-DQ,
WRONG-ENTITY / NON-US - do not call unverified,aerosenelectrical.com,AE Rosen Electrical,,,"office line only; contact located Plymouth, United Kingdom vs listed Adam Rosen (President) - non-US, likely wrong match",master-DQ,
WRONG-ENTITY / NON-US - do not call unverified,stateelectricalcontractors.com,State Electrical Contractors,,,"named lookup for Colleen Reichsfeld found nothing; titled fallback returned Michael Bast (Part-Owner/President) - different person, no verified email",master-DQ,
WRONG-ENTITY / NON-US - do not call unverified,corbinelectric.com,Corbin Electrical Services,,,contact resolved but provider returned no email and no phone; also a different person from the listed Steve Corbin (Owner),master-DQ,
WRONG-ENTITY / NON-US - do not call unverified,powercommconstruction.com,Powercomm Construction Inc,,,"list named David Kwasnik (President); returned David Kwasnik Jr. (SVP) - possible generational mismatch, verify",master-DQ,
WRONG-ENTITY / NON-US - do not call unverified,alselectric.ca,Al's Electric Services Ltd,,,"Canada - non-US target, likely wrong match for a US mandate (.ca domain, contact in New Brunswick)",master-DQ,
WRONG-ENTITY / NON-US - do not call unverified,genesiselectric.com,Genesis Electrical Service,,,only mobile is a UK +44 number on a US target - likely wrong match; no verified email,master-DQ,
WRONG-ENTITY / NON-US - do not call unverified,elmelec.com,"Elm Electrical, Inc.",,,"UNITED KINGDOM contact returned for a US target - likely wrong match; also office line only, no verified email; named lookup for Robert Bacon found nothing",master-DQ,
WRONG-ENTITY / NON-US - do not call unverified,tpiengineering.com,Tpi,,,"CANADA contact returned for a US target - likely wrong match; office line only, no verified email; named lookup for Tom Cantor found nothing",master-DQ,
WRONG-ENTITY / NON-US - do not call unverified,kndelectric.com,KND Electric,,,"named lookup for Kenneth Duarte (Owner) found nothing; fallback returned Kristine Denapoli, President - different person but owner-level; no mobile",master-DQ,
WRONG-ENTITY / NON-US - do not call unverified,skytecpro.com,Skytec,,,"named lookup for Pankaj Chaturvedi found nothing; fallback returned Catherine Lasso, Founder/President - different person but owner-level; no phone",master-DQ,
WRONG-ENTITY / NON-US - do not call unverified,jrelectrical.com,J.R. Electrical,,,"named lookup for Jason Nieves (President) found nothing; fallback returned John Roda, Owner (emails on jrelectricalusa.com not jrelectrical.com - possible entity mismatch); no mobile",master-DQ,
WRONG-ENTITY / NON-US - do not call unverified,tmelectrical.ca,T M Electric,,,"named lookup for Jeff Tremblay found nothing; .ca domain - CANADIAN entity, out of scope for a US target list, titled-domain fallback deliberately not spent",master-DQ,
WRONG-ENTITY / NON-US - do not call unverified,johnfordelectricalservices.co.uk,Commercial Electrician,,,"no owner-level title match (6 contacts); also UK .co.uk domain - out of US-only mandate, likely wrong target entirely",master-DQ,
WRONG-ENTITY / NON-US - do not call unverified,celticpower.com,Celtic Power Group,,,"LIKELY WRONG MATCH - contact location Ireland, outside the US-only mandate. Phones span +353 (IE), +61 (AU x2), +1 902 (Nova Scotia) and +1 954/561 (FL): heavy contamination, kept only the two US numbers and even those are unconfirmed. Do not use before entity verification",master-DQ,
WRONG-ENTITY / NON-US - do not call unverified,formex.us,Formex Electrical Contractor Inc.,,,"LIKELY WRONG MATCH - all candidate emails resolve to formex.com.tr (Turkey), none verified, none on formex.us; title 'Executive Manager' is not owner-level and no phone returned. Nothing usable",master-DQ,
WRONG-ENTITY / NON-US - do not call unverified,dynamicelectric.com,"Dynamic Electric, Inc.",,,"no verified company-domain email; contact in Greenville SC but office line is Illinois area code 708 - possible entity mismatch, verify",master-P1,
WRONG-ENTITY / NON-US - do not call unverified,vanharen.com,Van Haren Electric Inc.,,,"titled-domain lookup; returned Brian Vanharen (CEO) not the listed Krein Bons - different person, US-based, plausible principal",master-P1,
WRONG-ENTITY / NON-US - do not call unverified,ditrol.com,Di-Trol Systems Inc.,,,NAME MISMATCH: contact is Bill Pugh (Owner) but the only email returned belongs to Lisa Schonefeld - do not use as Pugh's address; no phone,master-P2,
WRONG-ENTITY / NON-US - do not call unverified,hvserviceinc.com,High Voltage Service,,,"UK (London), Chartered Accountant title - likely wrong match for US target; no phone; email unverified",master-P2,
WRONG-ENTITY / NON-US - do not call unverified,roberthenrycorp.com,The Robert Henry Corporation,,,"named lookup for Robert A. Henry (Founder) missed; fallback returned Brian Henry, President - different person (likely successor/family), verify",master-P2,
WRONG-ENTITY / NON-US - do not call unverified,gigerich.net,Gigerich Electrical Inc,,,"Inven title is VP, our record said President - title mismatch on same person",master-P2,
WRONG-ENTITY / NON-US - do not call unverified,wlslighting.com,WLS Lighting and Electrical,,,"named lookup for Keith Drummond (COO/CEO/Owner) missed; fallback returned Brandon Scogins, CEO - different person than our record",master-P2,
WRONG-ENTITY / NON-US - do not call unverified,superelec.com,Super Electric,,,India - likely wrong match; also office line only and no verified email. Named lookup for Ryan Schult (President) missed,master-P2,
WRONG-ENTITY / NON-US - do not call unverified,allphaseelectricfl.com,"All Phase Electric & Maintenance, Inc.",,,"named lookup for Scott Nejeschleba (Owner) missed; fallback returned Michael Lott, Business Owner - different person; 10 mobiles returned, low confidence identity match",master-P2,
WRONG-ENTITY / NON-US - do not call unverified,visionmo.com,VISION Electric & Systems,,,"office line only; contact located Toronto, ON Canada and is not the listed Douglas Brewer (President & CEO) - likely wrong match",master-P2,
WRONG-ENTITY / NON-US - do not call unverified,killencontractors.com,"Killen Contractors, INC.",,,"named lookup for Charles Killen (Founder) found nothing; titled-domain fallback returned Will Vaughan, President - different person",master-P2,
WRONG-ENTITY / NON-US - do not call unverified,southlandelectricinc.com,Southland Electric Inc.,,,named lookup for Leanne M Peterson found nothing; titled-domain fallback returned Dean Parsley (Owner) - different person but owner-level; no verified work email,master-P2,
WRONG-ENTITY / NON-US - do not call unverified,bazenelectric.com,Bazen Electric,,,"named lookup matched a different John Bazen (Electrical Engineering Intern at progressiveae.com, Grand Rapids MI) - wrong person, no phones; titled-domain fallback found 15 contacts but no owner-level title",master-P2,
WRONG-ENTITY / NON-US - do not call unverified,jbcontracting.com,JB Contracting Corporation,,,"named lookup for Jim Brady JR found nothing; titled fallback returned John Ziemian (Owner) - different person, no mobile and no verified email",master-P2,
WRONG-ENTITY / NON-US - do not call unverified,centralvalleyelectric.com,Central Valley Electric,,,"named lookup for Troy Wells found nothing; titled fallback returned Brice Thorell, General Manager (NE) while office line is CA 209 - possible entity mismatch, no verified email",master-P2,
WRONG-ENTITY / NON-US - do not call unverified,willenelectric.com,Willen Electric Company,,,"Inven records Dan Shine as Retired, not President; no phone returned",master-P2,
WRONG-ENTITY / NON-US - do not call unverified,hinckelectric.com,Hinck Electric,,,"named lookup for Roy Hinck (Founder) found nothing; fallback returned John Buck, President and Owner - different person but owner-level",master-P2,
WRONG-ENTITY / NON-US - do not call unverified,albarell.com,Albarell Electric Inc.,,,"named lookup for Michael Conkey (President) found nothing; fallback returned Mike Albarell, Owner - different person but owner-level",master-P2,
WRONG-ENTITY / NON-US - do not call unverified,cynergy.com,Cynergy Electric,,,"named lookup for Cyndi Saiz (Owner) found nothing; fallback returned Zachary Ashburn, President - different person but owner-level",master-P2,
WRONG-ENTITY / NON-US - do not call unverified,longhornelectrical.com,Longhorn Electric,,,"named lookup for Eric Villegas (President) found nothing; fallback returned Seth Strickland, Owner - different person but owner-level; no verified email",master-P2,
WRONG-ENTITY / NON-US - do not call unverified,pssamerica.com,Power System Solutions,,,"SOUTH AFRICA - likely wrong match for a US target; office line only, no verified email. Named lookup for Lisa Crawford (Owner) missed",master-P3,
WRONG-ENTITY / NON-US - do not call unverified,pcescorp.com,Pces,,,"BAHRAIN - likely wrong match for a US target; office line only, no verified email. Named lookup for Eldon Drake (CEO) missed",master-P3,
WRONG-ENTITY / NON-US - do not call unverified,bigskyelectric.com,Big Sky Electric,,,no mobile - direct dial/office only; named lookup for Daniel Blank (Owner) missed and fallback returned a different person; no verified work email,master-P3,
WRONG-ENTITY / NON-US - do not call unverified,mtnpower.com,"Mountain Power Electrical Contractor, INC.",,,"named lookup for Lou Pellatiro (President) missed; fallback returned Josh Beck, Owner - different person but owner-level, so usable; our stored owner name may be stale",master-P3,
WRONG-ENTITY / NON-US - do not call unverified,airconmechanical.com,Air-Con Mechanical Corporation/Air-Con Electric LLC,,,office line only; no verified email; named lookup for James Shaffer (Founder) missed and fallback returned a different person,master-P3,
WRONG-ENTITY / NON-US - do not call unverified,decofsc.com,"Delta Electrical Contractors of SC, Inc.",,,"ROMANIA - likely wrong match for a US target; office line only, no verified email. Named lookup for Michael H. Hudgins (President) missed",master-P3,
WRONG-ENTITY / NON-US - do not call unverified,ivctechnologies.com,IVC Technologies,,,"list names Jeffrey Epperson (Founder/CEO); provider returned Pete Epperson, President and Owner - related but a different person",master-P3,
WRONG-ENTITY / NON-US - do not call unverified,rubicontechservices.com,Rubicon Technical Services - Rts,,,"UK mobile (+44) for a Regional Manager in Dungannon, United Kingdom - not the listed William J Pirrone (Founding Partner); non-US, likely wrong match",master-P3,
WRONG-ENTITY / NON-US - do not call unverified,shahpe.com,"Shah & Associates, Inc.",,,"office line only; contact located India and is not the listed SK Shah (President) - non-US, likely wrong match",master-P3,
WRONG-ENTITY / NON-US - do not call unverified,sselectrical.com,"S&S Electrical Services, Inc.",,,"named lookup for Wesley Steigerwalt found nothing; titled fallback returned Irvin Sullivan (Owner) - different person, no verified work email",master-P3,
WRONG-ENTITY / NON-US - do not call unverified,tripowerelectricinc.com,Tri Power Electric,,,"contact located in Canada (Winnipeg) on a US target - likely wrong match; no phone, unverified email; asked for Tim Heale (Owner)",master-P3,
WRONG-ENTITY / NON-US - do not call unverified,senergyelectric.com,Senergy Electric,,,record mixes in Venezuela (+58) and Mexico (+52) numbers - use the US +1 786 mobiles only,master-P3,
WRONG-ENTITY / NON-US - do not call unverified,versysgroup.com,Versys Group,,,"Canada (Edmonton, versys.ca) on a US target - likely wrong match",master-P3,
WRONG-ENTITY / NON-US - do not call unverified,diversitec.com,Diversitec,,,"office line only; list named Jerry Grothendick (President), got Theophilus P - possible wrong entity, no verified email",master-P3,
WRONG-ENTITY / NON-US - do not call unverified,iecelectric.us,Industrial Electric Company,,,"India - contact located in Chennai on a US target, likely wrong match; office line only; asked for Barry Halajian (Owner)",master-P3,
WRONG-ENTITY / NON-US - do not call unverified,brite.group,Brite Electric,,,"office line only; named lookup for David Walsh (President) found nothing, fallback returned Mike Torrech (email on briteelec.com) - different person, no verified email",master-P3,
WRONG-ENTITY / NON-US - do not call unverified,sweneyelectric.com,"Sweney Electric Company, INC",,,"named lookup for Phil Shikany (Owner) found nothing; fallback returned Eric Severson, President - different person but owner-level",master-P3,
WRONG-ENTITY / NON-US - do not call unverified,sitewideps.com,Sitewide Project Solutions,,,"only mobile is an AUSTRALIAN +61 number on a Houston-located contact - likely wrong-entity phone, do not dial without verifying",master-P3,
WRONG-ENTITY / NON-US - do not call unverified,alphaee.com,"Alpha Energy and Electric, Inc.",,,"named lookup for Ike Nwabuonwu (Chairman/CEO) found nothing; fallback returned Gabriel Okafor, President - different person but owner-level",master-P3,
WRONG-ENTITY / NON-US - do not call unverified,apexelectricgroup.com,Apex Electrical Group LLC,,,"named lookup for Dennis Wisk (Owner) found nothing; fallback returned Marcus Cola, CEO and Co-Owner - different person but owner-level",master-P3,
WRONG-ENTITY / NON-US - do not call unverified,capcityelectric.com,Capital City Electric,,,"named lookup for Thomas Kessler (Owner) found nothing; fallback returned Eric Baker, President - different person but owner-level",master-P3,
WRONG-ENTITY / NON-US - do not call unverified,cove-elec.com,Cove Electric Inc.,,,"named lookup for Paul Guercio (Founder) found nothing; fallback returned Gar Hulslander, President - different person but owner-level; no verified email",master-P3,
WRONG-ENTITY / NON-US - do not call unverified,lumenelectric.com,Lumen Electric INC.,,,title is General Manager - senior but confirm ownership before treating as decision maker,master-P3,
WRONG-ENTITY / NON-US - do not call unverified,riseelec.com,Rise Electric LLC,,,"title mixes Project Manager with Principal - confirm ownership stake before treating as decision maker. PHONE CONTAMINATION: 4 numbers, kept only the 708 mobile (Chicago area); dropped 989 (MI), 773 'other' and 603 (NH) office",master-P3,
WRONG-ENTITY / NON-US - do not call unverified,vslconstructors.com,Vsl Electrical Signing Lighting Llc,,,"LIKELY WRONG MATCH: NON-OWNER TITLE (Area Manager) and every professional email is on laneconstruct.com, not vslconstructors.com; 4 phones span 510 (CA), 202 (DC) and 703 (VA x2) with none matching Charleston SC - all dropped. Nothing usable for this domain",master-P3,
WRONG-ENTITY / NON-US - do not call unverified,walshelectrical.com,"Walsh Electrical, Inc.",,,"NON-OWNER TITLE: Vice President - though surname matches the company name and a mikesr@ address also exists, so likely family ownership; all phones 570 and consistent with Clarks Summit PA",master-P3,
WRONG-ENTITY / NON-US - do not call unverified,caribooindustrialelectric.com,Cariboo Industrial Electric,,,"no owner-level title match (4 contacts at domain); 'Cariboo' is a British Columbia region - check this is not a Canadian firm, which would be outside the US-only mandate",master-P3,
WRONG-ENTITY / NON-US - do not call unverified,clp-engineering.com,"CLP Engineering, LLC",,,"NON-OWNER TITLE: 'Principal Engineer' is a technical grade, not an ownership principal. No verified on-domain email (only a bellsouth.net and an aol.com personal address, which also read as merged). Dropped the 817 (Fort Worth TX) mobile as out-of-state; the two 720/303 direct dials match Denver but no mobile survives",master-P3,
WRONG-ENTITY / NON-US - do not call unverified,bg-technologies.com,bg-technologies.com,,,"contact located Vadodara, India (record also carries a +91 number) and is not the listed Linda Gibson (Founder & President) - non-US, likely wrong match",valDQ-review,
possible undisclosed parent,americanscii.com,American System Controls & Integration Inc.,Jeffrey Miller,Automation Manager,sconzacandy.com,campaign-P2,Commercial & Industrial Ctrs
possible undisclosed parent,americanscii.com,American System Controls & Integration Inc.,Jeffrey Miller,Automation Manager,sconza.com,campaign-P2,Commercial & Industrial Ctrs
possible undisclosed parent,aarowelectricalsolutions.com,Aarow Electrical Solutions,Dave Bastain,Vice President of Operations,aarow-llc.com,campaign-P2,Commercial & Industrial Ctrs
possible undisclosed parent,pqsmc.com,PQS Mission Critical,Kyle Gunn,President,pqsgg.com,campaign-P2,Mission critical power
possible undisclosed parent,s1inc.co,Service One,Joy Brandon Vaulton,President,serviceonecontracting.com,ben-A,Commercial & Industrial Contractors
possible undisclosed parent,prolinepwr.com,"Proline Power, LLC.",Jack Jurovaty,Chief Executive Officer,ibew.org,campaign-Nurture,Utility Line & Substation
possible undisclosed parent,polelinecontractorsinc.com,Pole Line Contractors,Jeffrey Meyer,President,pioneertechsolutions.com,campaign-Nurture,Utility Line & Substation
possible undisclosed parent,cates.com,Cates Control Systems,Jerry Smith,Owner,i2r.com,campaign-P2,Commercial & Industrial Ctrs
possible undisclosed parent,cates.com,Cates Control Systems,Chris Smith,President,i2r.com,campaign-P2,Commercial & Industrial Ctrs
possible undisclosed parent,aye-inc.com,"Allen Yoho Electrical, Inc.",John Morris,President,allenyoho.com,campaign-P2,Commercial & Industrial Ctrs
possible undisclosed parent,aye-inc.com,"Allen Yoho Electrical, Inc.",Allen Yoho,President,allenyoho.com,campaign-P2,Commercial & Industrial Ctrs
possible undisclosed parent,electricinnovations.com,Electric Innovations Inc.,Marc Catalano,Chief Financial Officer,energyinnovations.com,campaign-P3,Commercial & Industrial Ctrs
possible undisclosed parent,scottarm.com,"Scott Armature, LLC",Scott Key,Owner & President,kencoil.com,campaign-P2,Motor & Generator Companies
possible undisclosed parent,ppultd.co.uk,Premium Power Units Ltd.,Paul Elliott,Branch Manager,premiumpowerunits.co.uk,campaign-P2,Motor & Generator Companies
possible undisclosed parent,ram-tek.com,RAMTEK - Mission Critical Solutions,Matthew Ramadanovic,Owner,yale.edu,campaign-P2,Mission critical power
possible undisclosed parent,globalpowergroup.com,"Global Power Group, Inc.",Salvatore Martorana,President,gpgpower.com,campaign-P2,Mission critical power
possible undisclosed parent,globalpowergroup.com,"Global Power Group, Inc.",Terry Mammen,Chief Executive Officer,gpgpower.com,campaign-P2,Mission critical power
possible undisclosed parent,solutionservicescorp.com,Solution Services Corp.,Jacob Black,Project Manager,ss-mec.com,campaign-P2,Commercial & Industrial Ctrs
possible undisclosed parent,ipspumpservice.com,"IPS Pump Services, Inc.",Craig McBride,General Manager,ipsincusa.com,campaign-P2,Motor & Generator Companies
possible undisclosed parent,greatplainstechnicalservices.com,Great Plains Technical Service,Bruce Schumaker,Owner,gptsinc.com,campaign-Nurture,Motor & Generator Companies
possible undisclosed parent,ancoholdings.com,Anco,Mike Young,Founder and CEO,ancounderground.com,campaign-P3,Utility Line & Substation
possible undisclosed parent,lionheartpower.com,LionHeart Critical Power Specialists,Mike Hunter,Owner,lhcps.com,campaign-P2,Mission critical power
possible undisclosed parent,triunenc.com,"Triune Electric, Inc.",Justin Hunt,Shop Manager For Control Panel Fabrication Facility,ias-nc.com,campaign-P2,Commercial & Industrial Ctrs
possible undisclosed parent,sgiwv.com,"Specialty Groups, Inc",James Herron,President,specialtygroups.com,campaign-P3,Commercial & Industrial Ctrs
possible undisclosed parent,lakecityelectric.net,Lake City Electric,Joe Frye,President,ftc-i.net,campaign-Nurture,Motor & Generator Companies
possible undisclosed parent,darbyelectric.com,Darby Electric,Marc Darby,Owner & President,darbydfw.com,campaign-P2,Motor & Generator Companies
possible undisclosed parent,industrialelectricalco.com,Industrial Electrical Company,David Howell,Owner,iecmail.com,campaign-P2,Motor & Generator Companies
possible undisclosed parent,moleymagneticsinc.com,"Moley Magnetics, Inc.",Katie Hurley,Chief Executive Officer,moleyinc.com,campaign-P3,Motor & Generator Companies
possible undisclosed parent,sloanelectric.com,Sloan Electric,Jerry Gray,Co-Owner,san.rr.com,campaign-Nurture,Motor & Generator Companies
possible undisclosed parent,angielecc.com,Angiel Electrical Construction,Zach Atkinson,Executive Vice President,csecre.com,campaign-P2,Commercial & Industrial Ctrs
possible undisclosed parent,westpointelectricinc.com,"Westpoint Electric, INC.",Justin West,President,wpetric.com,campaign-P2,Commercial & Industrial Ctrs
possible undisclosed parent,vibrationengineers.com,Vibration Engineers,Jon Thornham,Founder,flocycling.com,campaign-Nurture,Motor & Generator Companies
possible undisclosed parent,automatedpower.com,"UPS Protection, Inc.",Dan Coffman,CEO,upsprotection.com,campaign-P3,Mission critical power
possible undisclosed parent,trcinc.net,Technology Resource Center,Anthony Chavez,Chief Financial Officer,trcmail.net,P3-candidate,
possible undisclosed parent,tidaltimesolutions.com,Tidal Time Solutions,Adam Freihofer,Founder,microsoft.com,campaign-P3,Mission critical power
possible undisclosed parent,aclightningprotection.com,"A/C Lightning Protection, Inc.",Rusty Smith,Scooters Coffee Multi-Franchise Owner (NOT AC Lightning Protection),scooterscoffee.com,campaign-Nurture,Lightning Protection
possible undisclosed parent,lpsnet.com,"Lightning Prevention Systems, Inc",Ian Fawthrop,President,worldnet.att.net,campaign-Nurture,Lightning Protection
possible undisclosed parent,arrowheadline.com,Arrowhead Line,Josh Gresham,CEO,pinnacletransition.com,P3-candidate,
