id,name,series,start_date,end_date,city,state,source_link,grata_url,company_count,p2_attending,candidates_attending_count,master_attending_count,prior_edition_evidence,kept_reason
NN5QQ8A4,Florida Municipal Electric Association (FMEA) Conference 2027,Florida Municipal Electric Association (FMEA) Conference,2027-07-14,2027-07-16,Palm Beach,FL,https://www.flpublicpower.com/2026-fmea-annual-conference,https://search.grata.com/lists/NN5QQ8A4/companies,0,[],0,0,"{'edition': 'FMEA 2026 (Palm Beach, 2026-07-14/16)', 'p2_count': 1, 'master_count': 2}",Florida municipal/public-power event (utility services thesis). Roster not yet populated.
5WVJ3NU6,Advancing Electrical Prefabrication 2027,Advancing Electrical Prefabrication,2027-07-22,2027-07-24,Dallas,TX,https://advancing-electrical-prefabrication.com/,https://search.grata.com/lists/5WVJ3NU6/companies,0,[],0,0,"{'edition': 'Advancing Electrical Prefabrication 2026 (Dallas, 2026-07-22/24)', 'p2_count': 1, 'master_count': 2}",Electrical-contractor prefab/BIM conference (T5 operators attend). Roster not yet populated.
JWMA34XG,iP Utility Safety Conference & Expo 2026,iP Utility Safety Conference & Expo,2026-11-03,2026-11-05,Glendale,AZ,https://utilitysafetyconference.com/expo/,https://search.grata.com/lists/JWMA34XG/companies,95,[],3,1,,Utility field-safety trade event; 3 candidate-pool and 1 master-list companies exhibit (utility services adjacency). Incidental on-thesis find from Utility Expo probe.
A3RPM49W,The Utility Expo 2026,The Utility Expo,2026-10-07,2026-10-09,Louisville,KY,https://www.theutilityexpo.com/,https://search.grata.com/lists/A3RPM49W/companies,0,[],0,0,,Major utility construction/field-technology trade show (thesis probe list). Grata roster not yet populated.
779ZH67X,International Lineman's Rodeo & Expo 2026,International Lineman's Rodeo & Expo,2026-10-14,2026-10-17,Overland Park,KS,https://www.linemansrodeokc.com/,https://search.grata.com/lists/779ZH67X/companies,29,[],2,0,,Electric-utility lineworker trade event; 2 candidate-pool companies exhibit. Incidental on-thesis find.
Y9VJAE67,Data Center World POWER 2026,Data Center World POWER,2026-09-21,2026-09-23,Grapevine,TX,https://dcwpower.com/,https://search.grata.com/lists/Y9VJAE67/companies,31,[],0,0,,Critical-power/data-center energy event (T6 adjacency); roster is OEM/utility-heavy with no current list overlap - watch for T6 targets in later roster updates.
GQDMLKE9,Data Center World 2027,Data Center World,2027-04-20,2027-04-23,Washington,DC,https://datacenterworld.com/,https://search.grata.com/lists/GQDMLKE9/companies,0,[],0,0,,Flagship US data-center infrastructure event (critical power / T6 thesis). Roster not yet populated.
MNRAN3LK,Power-Generation (POWERGEN) 2027,Power-Generation (POWERGEN) International,2027-01-18,2027-01-21,Salt Lake City,UT,https://www.powergen.com/,https://search.grata.com/lists/MNRAN3LK/companies,0,[],0,0,"{'edition': 'POWERGEN International 2024 (New Orleans)', 'p2_count': 0, 'master_count': 0}",Power-generation industry flagship; prior edition showed no list overlap (roster truncated 100/595) - keep as low-priority coverage.
2VAK7U4S,IEEE Power and Energy Society (PES) Transmission & Distribution (T&D) Conference & Exposition 2027,IEEE Power and Energy Society PES Transmission & Distribution T&D Conference & Exposition,2027-05-04,2027-05-07,Chicago,IL,https://ieeet-d.org/,https://search.grata.com/lists/2VAK7U4S/companies,0,[],0,0,"{'edition': 'IEEE PES T&D 2024 (Anaheim)', 'p2_count': 0, 'master_count': 0}","Biennial T&D flagship (thesis series). Prior-edition intersection was 0 but that roster was truncated 200/1155 large-first, so evidence is weak, not negative. Grata holds a duplicate record 8TF994G7 for the same edition."
75RMJJPN,CEATI Strategy & Innovation Conference 2026,Centre for Energy Advancement through Technological Innovation (CEATI) Strategy & Innovation Conference,2026-09-15,2026-09-18,Fort Lauderdale,FL,https://site.pheedloop.com/event/strategyinnovation/home,https://search.grata.com/lists/75RMJJPN/companies,0,[],0,0,,Only CEATI event in window (the T&D conference series from the old build has no in-window edition listed). Utility R&D/operations community; roster not yet populated.
WFFF7HWT,Electric Operations Conference & Expo (EOCE) 2027,Electric Operations Conference & Expo,2027-01-14,2027-01-15,Baraboo,WI,https://www.meuw.org/eoce,https://search.grata.com/lists/WFFF7HWT/companies,0,[],0,0,,Wisconsin municipal electric utility operations trade show (utilities/munis thesis). Incidental find; roster not yet populated.
