company,domain,headquarters,employees,ownership,year_founded,description,source_list,flag
BHI Energy,bhienergy.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
MacDonald-Miller,macmiller.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Avi-Spl,avispl.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"Thryv, Inc.",thryv.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Black Box Corporation,blackbox.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Dashiell Corporation,dashiell.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
The Newtron Group,thenewtrongroup.com,[unknown],[unknown],[unknown],[unknown],[unknown],"NEJPTRNT,AG7VH6VZ",
"Shambaugh & Son, L.P.",shambaugh.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
The Brandt Companies,brandt.us,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
The State Group,stategroup.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
ADT Inc.,adt.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Southland Industries,southlandind.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"Sturgeon Electric Company, Inc.",sturgeonelectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],"NEJPTRNT,B2P5ZX2E,TC959LXU,PXZB5DQZ",
MYR Group Inc.,myrgroup.com,[unknown],[unknown],[unknown],[unknown],[unknown],"NEJPTRNT,B2P5ZX2E,AG7VH6VZ",
The Waldinger Corporation,waldinger.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
RailWorks Corporation,railworks.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Michels Corporation,michels.us,[unknown],[unknown],[unknown],[unknown],[unknown],"NEJPTRNT,B2P5ZX2E,PXZB5DQZ",
Limbach Holdings Inc.,limbachinc.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"M. J. Electric, LLC",mjelectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],"NEJPTRNT,B2P5ZX2E",
ArchKey Solutions LLC,archkey.com,[unknown],[unknown],[unknown],[unknown],[unknown],"NEJPTRNT,B2P5ZX2E,AG7VH6VZ",
Cache Valley Electric Company,cve.com,[unknown],[unknown],[unknown],[unknown],[unknown],"NEJPTRNT,AG7VH6VZ,PXZB5DQZ",
"Enerfab, LLC.",enerfab.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"PAR Electrical Contractors, Inc.",parelectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],"NEJPTRNT,B2P5ZX2E,PXZB5DQZ",
InfraSource,infrasourceus.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Mass. Electric Construction Co.,masselec.com,[unknown],[unknown],[unknown],[unknown],[unknown],"NEJPTRNT,B2P5ZX2E,PXZB5DQZ",
Crescent Electric Supply Company,crescentelectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"Intren, LLC",intren.com,[unknown],[unknown],[unknown],[unknown],[unknown],"NEJPTRNT,B2P5ZX2E",
Fisk Electric Co.,fiskcorp.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
RS Group,rsgroup.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"LS ELECTRIC Co., Ltd.",ls-electric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"CSI Electrical Contractors, Inc.",csielectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
EC Electric,ecpowerslife.com,[unknown],[unknown],[unknown],[unknown],[unknown],"NEJPTRNT,PXZB5DQZ",NAME_MATCH_REVIEW: normalized name already in dedupe authority under a different domain - verify before outreach
"Hatzel and Buehler, Inc",hatzelandbuehler.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Hunt Electric Corporation,huntelec.com,[unknown],[unknown],[unknown],[unknown],[unknown],"NEJPTRNT,B2P5ZX2E,AG7VH6VZ",NAME_MATCH_REVIEW: normalized name already in dedupe authority under a different domain - verify before outreach
Mayer,mayerelectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Riggs Distler,riggsdistler.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Potelco Inc,potelco.net,[unknown],[unknown],[unknown],[unknown],[unknown],"NEJPTRNT,PXZB5DQZ",
"Ace Electric, Inc",aceelectric.net,[unknown],[unknown],[unknown],[unknown],[unknown],"NEJPTRNT,AG7VH6VZ",
VECA Electric & Technologies,veca.com,[unknown],[unknown],[unknown],[unknown],[unknown],"NEJPTRNT,AG7VH6VZ",
Haugland Group LLC,hauglandgroup.us,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
McKinstry,mckinstry.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Qualus Corp.,qualuscorp.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"P1 Group, Inc.",p1group.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Therma,therma.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Superior,superiorgroup.net,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
SERVICE ELECTRIC Company,serviceelectricco.com,[unknown],[unknown],[unknown],[unknown],[unknown],"NEJPTRNT,B2P5ZX2E,PXZB5DQZ",NAME_MATCH_REVIEW: normalized name already in dedupe authority under a different domain - verify before outreach
E-J Electric Installation Co.,ej1899.com,[unknown],[unknown],[unknown],[unknown],[unknown],"NEJPTRNT,AG7VH6VZ",
Baker Group,thebakergroup.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
BMWC Constructors,bmwc.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"Cupertino Electric, Inc.",cei.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Yunex GmbH,yunextraffic.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
OZZ Electric,ozzelectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Tri-City Electric Co.,tricityelectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],"NEJPTRNT,AG7VH6VZ",
Oegpoweron,oeg.us.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Redwood Electric Group,redwoodeg.com,[unknown],[unknown],[unknown],[unknown],[unknown],"NEJPTRNT,AG7VH6VZ",
Underground Construction,undergroundconstruction.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
New River Electrical Corporation,newriverelectrical.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Harris Co.,harriscompany.com,[unknown],[unknown],[unknown],[unknown],[unknown],"NEJPTRNT,B2P5ZX2E",
Egan Company,eganco.com,[unknown],[unknown],[unknown],[unknown],[unknown],"NEJPTRNT,B2P5ZX2E",
Commonwealth Electric Company of the Midwest,commonwealthelectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],"NEJPTRNT,AG7VH6VZ",
Morrow-Meadows Corporation,morrow-meadows.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
The Lane Construction Corporation,laneconstruct.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"Power Solutions, LLC",powersolutions-llc.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"RESA Power, LLC",resapower.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Big State Electric Ltd,bigstateelectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],"NEJPTRNT,AG7VH6VZ",
North Houston Pole Line,nhplc.com,[unknown],[unknown],[unknown],[unknown],[unknown],"NEJPTRNT,B2P5ZX2E",
Summit Line Construction,summitlineconstruction.com,"Heber City, UT",1617,Public Subsidiary,2009,"Summit Line Construction provides electrical utility construction services focused on transmission and distribution line work, energized operations, substation construction, and foundations/drilling for grid projects. They serve utilities, renewable energy developers and large infrastructure contractors and claim to differentiate through a stated safety culture, labor affiliation, and emphasis on linking sustainable energy to the grid.","NEJPTRNT,PXZB5DQZ",
Verra Mobility Corporation,verramobility.com,"Mesa, AZ",1533,Private Equity Add-On,1987,"Verra Mobility Corporation is a leading provider of tech-enabled smart transportation solutions, including tolling, violations, and title and registration services. Their typical customers include transportation agencies, rental car companies, fleet owners, and municipalities. They differentiate themselves by offering innovative and reliable solutions that improve mobility and safety while also creating a seamless and convenient experience for both customers and end users.",NEJPTRNT,
DeBra-Kuempel Inc.,dkemcor.com,"Cincinnati, OH",1521,Public Subsidiary,1946,"DeBra-Kuempel Inc. is a mechanical construction and maintenance company that offers a range of services, including HVAC, plumbing, process piping, and industrial ventilation. Their typical customers are commercial and industrial clients in various sectors, such as healthcare, education, manufacturing, and government. DeBra-Kuempel Inc. differentiates themselves by emphasizing their extensive experience, technical expertise, and commitment to customer satisfaction. They position themselves as a trusted partner for mechanical construction and maintenance needs, providing high-quality solutions tailored to each client's specific requirements.",NEJPTRNT,
Aldridge Group,aldridgegroup.com,"Libertyville, IL",1508,Bootstrapped,1932,"Aldridge Group provides IT consulting, managed services, cybersecurity solutions, cloud services, and digital transformation services. Their typical customers are businesses of all sizes, from small companies to large enterprises, across various industries. They position themselves as a trusted partner that helps their clients leverage technology to achieve their business goals. They claim to differentiate themselves through their proactive approach to IT management, personalized customer service, and their expertise in cybersecurity.","NEJPTRNT,AG7VH6VZ",
Danella Companies,danella.com,"Plymouth Meeting, PA",1477,Bootstrapped,1972,"Danella Companies provides heavy civil and infrastructure construction services focused on site development, underground utilities and electrical/traffic systems, and roadway construction and paving for public agencies and private developers. They position themselves as a full‑service contractor with integrated capabilities and in‑house equipment to manage large-scale infrastructure projects from excavation through final paving and systems installation.",NEJPTRNT,
EPB,epb.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Sargent Electric Company,sargentelectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],"NEJPTRNT,AG7VH6VZ",
Lighthouse Electric,lighthouseelectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,NAME_MATCH_REVIEW: normalized name already in dedupe authority under a different domain - verify before outreach
Motor City Electric Co.,mceco.com,[unknown],[unknown],[unknown],[unknown],[unknown],"NEJPTRNT,AG7VH6VZ",
Taft Electric Co,taftelectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,NAME_MATCH_REVIEW: normalized name already in dedupe authority under a different domain - verify before outreach
United Utility Services LLC,unitedutility.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
TA Services,taservices.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
CR Meyer,crmeyer.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Kokosing,kokosing.biz,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Helm Group,helmgroup.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"Intermountain Electric, Inc.",imelect.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"Continental Electrical Construction Company, LLC",cecco.com,[unknown],[unknown],[unknown],[unknown],[unknown],"NEJPTRNT,AG7VH6VZ",
HYLAN,hylan.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"B&D Industries, Inc.",banddindustries.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Hayes Mechanical,hayesmechanical.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Porch Group,porchgroup.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"Quality ""Plus"" Services, Inc.",qpsisbest.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"Sterling Industrial, LLC",sterlingindustrialllc.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Matrix NAC,matrixnac.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Lake Erie Electric,lakeerieelectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],"NEJPTRNT,AG7VH6VZ",
Gurtz Electric Co.,gurtzelectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"Collins Electrical Company, Inc.",collinselectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
SASCO,sasco.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Dynalectric Oregon,dyna-oregon.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"PayneCrest Electric, Inc.",paynecrest.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"I.B. Abel, Inc.",ib-abel.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Thompson Solutions Group,thompsonsolutionsgroup.com,[unknown],[unknown],[unknown],[unknown],[unknown],"NEJPTRNT,B2P5ZX2E",
Newkirk Electric Associates,newkirk-electric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Baker Electric,baker-electric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
VarcoMac LLC,varcomac.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"PAR Western Line Contractors, LLC",parwlc.com,[unknown],[unknown],[unknown],[unknown],[unknown],"NEJPTRNT,PXZB5DQZ",
"J.M. Brennan, Inc.",jmbrennan.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"Westphal & Company, Inc.",westphalec.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"Van Ert Electric Company, Inc.",vanert.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"Huston Electric, Inc",hustonelectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Utility Supply and Construction Company,uscco.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"Prime Electric, Inc.",primee.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,NAME_MATCH_REVIEW: normalized name already in dedupe authority under a different domain - verify before outreach
Rudolph Libbe Inc.,rlgbuilds.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"Alterman, Inc.",goalterman.com,[unknown],[unknown],[unknown],[unknown],[unknown],"NEJPTRNT,AG7VH6VZ",
Briggs Electric,briggselectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
ESI Electrical Contractors,esielectrical.com,[unknown],[unknown],[unknown],[unknown],[unknown],"NEJPTRNT,B2P5ZX2E",
International Line Builders Inc.,ilbinc.com,[unknown],[unknown],[unknown],[unknown],[unknown],"NEJPTRNT,PXZB5DQZ",
"Schmidt Electric Co., Inc.",schmidt-electric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
LONG Building Technologies,long.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Ferguson Electric,fergusonelectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"Gibson Electric Co., Inc.",gibsonelec.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,NAME_MATCH_REVIEW: normalized name already in dedupe authority under a different domain - verify before outreach
"Capital Electric Construction Co., Inc.",capitalelectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
National Electrical Contractors Association (NECA),necanet.org,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
COSCO Fire Protection,coscofire.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Lee Mechanical,selectlee.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Huen Electric,huenelectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
McCarl's,mccarl.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
McMillan Electric,mcmillanco.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Anvil Builders Inc.,anvilbuilders.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Connelly Electric Co,connellyelectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Morley Moss Inc.,morleymoss.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Industrial Electric Inc.,industelectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,NAME_MATCH_REVIEW: normalized name already in dedupe authority under a different domain - verify before outreach
"JHKelly, LLC",jhkelly.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Electric Plus,electricplus.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Koontz-Wagner,koontzwagnerservices.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Millennium Challenge Corporation,mcc.gov,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Metro Electric,metroelectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,NAME_MATCH_REVIEW: normalized name already in dedupe authority under a different domain - verify before outreach
"J. J. White, Inc.",jjwhiteinc.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Teldat Group,teldat.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"Potter Electric Signal Company, LLC",pottersignal.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"Adman Electric, Inc.",admanelectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
White Electrical Construction Company,white-electrical.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Oklahoma Electrical Supply Co,oesco.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Cherry City Electric,cherrycityelectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"Ward Electric Company, Inc.",wardelectriccompany.com,[unknown],[unknown],[unknown],[unknown],[unknown],"NEJPTRNT,B2P5ZX2E",
Gaston Electrical,gastonelectrical.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Delta Services and it's licensors,deltaservicesllc.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
MP Systems Inc.,mp-systemsinc.com,[unknown],[unknown],[unknown],[unknown],[unknown],"NEJPTRNT,B2P5ZX2E",
Alpha Energy Solutions,alphamechanicalservice.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,NAME_MATCH_REVIEW: normalized name already in dedupe authority under a different domain - verify before outreach
Inglett & Stubbs LLC,inglett-stubbs.com,[unknown],[unknown],[unknown],[unknown],[unknown],"NEJPTRNT,AG7VH6VZ",
The Stoner Electric Group,stonergroup.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"Pieper Electric, Inc.",pieperpower.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Schumacher Electric Corporation,schumacherelectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Buckeye Broadband,buckeyebroadband.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Zenith Systems LLC,zenithsystems.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"Bluestone Communications, Inc.",bluestonecomm.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Bancker Construction Corp,bancker.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Neal Electric Corp.,nealelectric.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Allison Smith Company LLC,allisonsmith.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"Cochran, Inc",cochraninc.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,NAME_MATCH_REVIEW: normalized name already in dedupe authority under a different domain - verify before outreach
Industrial Power Systems (IPS),ipscontractor.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Wilson Construction Company,wilsonconst.com,[unknown],[unknown],[unknown],[unknown],[unknown],"NEJPTRNT,PXZB5DQZ",
"J & M Brown Company, Inc.",jmbco.com,"Boston, MA",485,Bootstrapped,1921,"J & M Brown Company, Inc. is an electrical contracting firm that delivers electrical construction and low-voltage system services to construction managers, owners, and developers in commercial, institutional, and life science sectors; they emphasize integrated electrical, fire alarm, security and tel/data capabilities, a safety-first workforce, and project coordination to support complex builds.",NEJPTRNT,
Cerris,cerris.com,"Lenexa, KS",483,Private Subsidiary,1932,"Cerris is a national commercial construction and MEP contractor offering general contracting, design-build, preconstruction, construction management, building automation, and service for commercial clients; they emphasize integrated solutions for complex projects, long-term client relationships, and employee ownership.",NEJPTRNT,
"Allan Briteway Electrical Utility Contractors, Inc.",allanbriteway.com,"New York, NY",480,Bootstrapped,1954,"Allan Briteway Electrical Utility Contractors, Inc. is an electrical contracting firm that provides electrical installation and contractor services to Fortune 500 companies and commercial, pharmaceutical, industrial, medical, educational, communications, and municipal organizations; they emphasize over 60 years of experience and position themselves as a trusted, reliable provider built from merged predecessor firms.",NEJPTRNT,NAME_MATCH_REVIEW: normalized name already in dedupe authority under a different domain - verify before outreach
"Carr & Duff, Inc",carrduff.com,"Huntingdon Valley, PA",478,Private Equity Platform,1958,"Carr & Duff, Inc provides electrical construction and contracting services with an emphasis on 24/7 emergency response, utility and communication systems construction, and deployment of manpower and equipment for projects serving utilities, transportation, healthcare, wireless communications, industrial, commercial, and institutional clients.",NEJPTRNT,
Heim Company,edwinlheim.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Bragg Companies,braggcompanies.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
W.J. O'Neil Company,wjo.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
Baker Electric Home Energy,bakerhomeenergy.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
"Preferred Electric Co., Inc.",peci-elect.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,NAME_MATCH_REVIEW: normalized name already in dedupe authority under a different domain - verify before outreach
Hooper,hoopercorp.com,[unknown],[unknown],[unknown],[unknown],[unknown],"NEJPTRNT,B2P5ZX2E",
Electrical Equipment Company,eecoonline.com,[unknown],[unknown],[unknown],[unknown],[unknown],NEJPTRNT,
